footlength,Heightin,Weightlbs,balloffootcircumference,EUR Size
246,61,142,222,37.78801843317972
249,64,120,225,38.24884792626728
265,68,147,237,40.706605222734254
265,66,175,240,40.706605222734254
247,63,195,217,37.94162826420891
270,67,180,229,41.474654377880185
241,65,165,232,37.0199692780338
255,66,168,234,39.1705069124424
234,59,118,208,35.944700460829495
245,63,150,221,37.634408602150536
270,69,212,245,41.474654377880185
260,66,150,235,39.93855606758833
234,65,169,218,35.944700460829495
263,66,158,240,40.39938556067588
238,64,160,225,36.55913978494624
249,66,145,234,38.24884792626728
257,65,137,237,39.47772657450077
256,67,130,215,39.324116743471585
253,66,160,232,38.863287250384026
235,64,130,213,36.09831029185868
233,60,172,231,35.79109062980031
250,66,165,217,38.40245775729647
231,64,110,220,35.483870967741936
251,66,150,221,38.556067588325654
258,65,150,225,39.63133640552996
242,63,159,218,37.173579109062985
223,56,107,209,34.25499231950845
236,64,154,235,36.25192012288787
251,67,160,225,38.556067588325654
258,64,137,227,39.63133640552996
246,63,145,230,37.78801843317972
252,66,155,213,38.70967741935484
269,69,155,240,41.321044546851
245,66,185,216,37.634408602150536
246,66,200,222,37.78801843317972
238,65,134,217,36.55913978494624
251,67,127,217,38.556067588325654
234,61,120,211,35.944700460829495
237,64,166,230,36.40552995391705
249,63,175,226,38.24884792626728
248,65,180,241,38.095238095238095
259,67,155,236,39.78494623655914
247,65,164,241,37.94162826420891
255,64,163,230,39.1705069124424
250,63,175,230,38.40245775729647
250,66,170,225,38.40245775729647
244,65,155,230,37.48079877112135
252,64,153,224,38.70967741935484
257,68,145,241,39.47772657450077
257,63,103,228,39.47772657450077
244,67,150,218,37.48079877112135
256,80,270,256,39.324116743471585
269,68,196,243,41.321044546851
238,64,165,229,36.55913978494624
229,62,150,230,35.17665130568356
233,61,133,222,35.79109062980031
243,65,128,214,37.327188940092164
247,63,153,234,37.94162826420891
242,65,160,227,37.173579109062985
230,64,130,227,35.33026113671275
272,70,156,231,41.78187403993856
258,66,185,242,39.63133640552996
220,65,135,224,33.794162826420894
250,64,182,236,38.40245775729647
257,66,145,220,39.47772657450077
250,66,155,233,38.40245775729647
243,63,145,217,37.327188940092164
235,63,126,215,36.09831029185868
262,66,180,243,40.2457757296467
248,64,130,226,38.095238095238095
244,61,140,226,37.48079877112135
226,62,123,226,34.715821812596005
247,64,132,243,37.94162826420891
257,67,145,229,39.47772657450077
230,61,150,225,35.33026113671275
253,69,160,229,38.863287250384026
238,62,150,211,36.55913978494624
259,66,150,221,39.78494623655914
240,63,160,230,36.86635944700461
254,66,150,229,39.01689708141321
265,68,187,245,40.706605222734254
267,73,184,267,41.013824884792626
253,65,170,226,38.863287250384026
253,67,136,217,38.863287250384026
254,67,174,212,39.01689708141321
238,61,136,227,36.55913978494624
243,63,148,236,37.327188940092164
242,65,153,233,37.173579109062985
259,66,148,236,39.78494623655914
238,61,135,224,36.55913978494624
239,63,170,227,36.712749615975426
239,65,129,219,36.712749615975426
237,65,156,211,36.40552995391705
246,66,125,222,37.78801843317972
268,69,185,248,41.16743471582181
215,60,122,215,33.02611367127496
232,60,137,222,35.63748079877112
252,65,160,230,38.70967741935484
247,64,146,229,37.94162826420891
226,62,110,217,34.715821812596005
246,65,140,238,37.78801843317972
230,66,147,220,35.33026113671275
239,64,127,240,36.712749615975426
229,63,141,227,35.17665130568356
261,68,136,226,40.092165898617516
224,59,104,214,34.40860215053763
225,60,128,217,34.56221198156682
257,63,165,243,39.47772657450077
247,65,149,224,37.94162826420891
231,63,156,205,35.483870967741936
275,69,170,259,42.242703533026116
235,62,117,214,36.09831029185868
249,64,135,226,38.24884792626728
230,64,140,212,35.33026113671275
250,66,172,223,38.40245775729647
234,64,131,226,35.944700460829495
236,62,162,237,36.25192012288787
237,63,145,224,36.40552995391705
239,65,149,226,36.712749615975426
247,64,132,236,37.94162826420891
268,70,158,247,41.16743471582181
255,60,118,224,39.1705069124424
258,69,165,227,39.63133640552996
245,65,132,230,37.634408602150536
222,59,110,210,34.10138248847927
229,62,140,219,35.17665130568356
263,65,147,230,40.39938556067588
257,66,137,240,39.47772657450077
235,60,130,234,36.09831029185868
241,64,135,218,37.0199692780338
234,63,135,218,35.944700460829495
259,66,171,234,39.78494623655914
228,61,163,217,35.02304147465438
242,65,137,225,37.173579109062985
225,60,147,220,34.56221198156682
243,63,115,217,37.327188940092164
250,64,140,222,38.40245775729647
247,65,153,233,37.94162826420891
263,68,158,254,40.39938556067588
260,66,145,232,39.93855606758833
244,65,180,216,37.48079877112135
238,64,138,224,36.55913978494624
241,62,133,222,37.0199692780338
250,63,125,232,38.40245775729647
247,66,111,218,37.94162826420891
237,63,136,216,36.40552995391705
256,67,180,233,39.324116743471585
223,64,120,219,34.25499231950845
243,62,141,224,37.327188940092164
234,62,119,215,35.944700460829495
250,65,126,211,38.40245775729647
243,63,140,221,37.327188940092164
243,64,140,230,37.327188940092164
230,62,132,225,35.33026113671275
240,62,125,225,36.86635944700461
253,64,130,225,38.863287250384026
242,66,179,236,37.173579109062985
248,67,140,217,38.095238095238095
256,69,140,223,39.324116743471585
242,64,120,210,37.173579109062985
252,67,175,238,38.70967741935484
217,62,148,210,33.333333333333336
236,64,147,232,36.25192012288787
234,65,125,208,35.944700460829495
252,65,162,233,38.70967741935484
236,66,116,203,36.25192012288787
263,66,169,243,40.39938556067588
243,62,130,228,37.327188940092164
262,64,159,238,40.2457757296467
235,64,140,222,36.09831029185868
260,66,172,250,39.93855606758833
237,64,161,214,36.40552995391705
228,62,126,226,35.02304147465438
234,65,145,224,35.944700460829495
250,65,157,247,38.40245775729647
237,64,149,220,36.40552995391705
277,69,210,250,42.54992319508449
255,65,157,231,39.1705069124424
223,60,155,221,34.25499231950845
236,63,144,227,36.25192012288787
242,60,115,227,37.173579109062985
261,63,122,238,40.092165898617516
263,70,180,266,40.39938556067588
257,68,159,236,39.47772657450077
259,65,145,226,39.78494623655914
227,60,140,223,34.86943164362519
260,66,145,247,39.93855606758833
240,65,145,234,36.86635944700461
273,67,169,241,41.935483870967744
239,64,157,211,36.712749615975426
237,62,135,218,36.40552995391705
238,64,128,214,36.55913978494624
236,64,120,223,36.25192012288787
253,64,151,224,38.863287250384026
245,64,150,230,37.634408602150536
247,61,127,237,37.94162826420891
242,65,121,216,37.173579109062985
246,67,158,230,37.78801843317972
250,67,141,233,38.40245775729647
254,67,185,239,39.01689708141321
246,66,145,226,37.78801843317972
226,64,124,216,34.715821812596005
240,64,125,227,36.86635944700461
246,64,138,234,37.78801843317972
240,59,137,217,36.86635944700461
230,62,105,222,35.33026113671275
248,63,137,239,38.095238095238095
254,67,141,227,39.01689708141321
237,64,180,218,36.40552995391705
263,68,156,225,40.39938556067588
233,62,120,211,35.79109062980031
228,60,105,209,35.02304147465438
261,64,145,218,40.092165898617516
261,66,160,244,40.092165898617516
245,64,130,226,37.634408602150536
273,68,175,232,41.935483870967744
279,68,167,238,42.85714285714286
246,66,103,225,37.78801843317972
232,63,119,208,35.63748079877112
274,69,168,246,42.08909370199693
248,62,147,226,38.095238095238095
253,64,149,231,38.863287250384026
242,62,150,232,37.173579109062985
239,66,128,217,36.712749615975426
242,65,165,229,37.173579109062985
251,65,148,226,38.556067588325654
274,72,171,240,42.08909370199693
258,66,174,236,39.63133640552996
248,66,133,224,38.095238095238095
244,61,164,228,37.48079877112135
247,66,160,237,37.94162826420891
240,64,143,211,36.86635944700461
242,68,148,235,37.173579109062985
242,65,160,230,37.173579109062985
255,67,124,235,39.1705069124424
243,62,130,227,37.327188940092164
248,64,145,237,38.095238095238095
225,60,124,219,34.56221198156682
242,66,120,216,37.173579109062985
217,61,105,216,33.333333333333336
247,65,120,240,37.94162826420891
249,67,163,226,38.24884792626728
219,59,140,230,33.64055299539171
238,61,135,237,36.55913978494624
239,62,137,227,36.712749615975426
232,63,125,217,35.63748079877112
234,62,170,231,35.944700460829495
247,63,145,235,37.94162826420891
254,62,153,220,39.01689708141321
226,62,141,223,34.715821812596005
227,61,116,201,34.86943164362519
242,63,118,227,37.173579109062985
228,61,131,217,35.02304147465438
237,63,145,217,36.40552995391705
243,64,159,229,37.327188940092164
249,67,140,239,38.24884792626728
246,63,142,220,37.78801843317972
248,64,147,222,38.095238095238095
268,66,167,237,41.16743471582181
247,65,120,217,37.94162826420891
234,63,154,213,35.944700460829495
252,63,138,228,38.70967741935484
251,64,145,226,38.556067588325654
229,63,156,201,35.17665130568356
245,63,150,241,37.634408602150536
256,68,183,247,39.324116743471585
245,64,143,233,37.634408602150536
246,65,125,231,37.78801843317972
249,63,162,237,38.24884792626728
229,64,161,230,35.17665130568356
253,69,125,230,38.863287250384026
249,80,160,231,38.24884792626728
276,71,198,238,42.3963133640553
253,67,160,237,38.863287250384026
229,65,135,225,35.17665130568356
233,63,125,232,35.79109062980031
244,63,130,213,37.48079877112135
248,64,143,242,38.095238095238095
239,64,180,222,36.712749615975426
244,68,166,244,37.48079877112135
250,65,150,249,38.40245775729647
232,60,127,211,35.63748079877112
241,66,130,216,37.0199692780338
247,64,120,226,37.94162826420891
254,66,180,227,39.01689708141321
255,65,129,234,39.1705069124424
259,67,140,243,39.78494623655914
242,66,153,228,37.173579109062985
239,65,143,217,36.712749615975426
240,65,135,216,36.86635944700461
239,64,165,227,36.712749615975426
233,60,125,213,35.79109062980031
247,64,120,221,37.94162826420891
259,66,130,229,39.78494623655914
257,64,198,233,39.47772657450077
210,59,150,231,32.25806451612903
257,64,135,250,39.47772657450077
229,63,110,225,35.17665130568356
253,67,178,234,38.863287250384026
232,62,127,205,35.63748079877112
251,64,160,220,38.556067588325654
245,66,130,217,37.634408602150536
223,63,150,226,34.25499231950845
253,63,180,241,38.863287250384026
234,64,130,222,35.944700460829495
244,69,205,236,37.48079877112135
237,62,185,230,36.40552995391705
240,62,183,230,36.86635944700461
243,64,140,228,37.327188940092164
277,69,200,250,42.54992319508449
266,67,185,230,40.86021505376344
264,70,188,230,40.55299539170507
233,62,127,234,35.79109062980031
254,67,150,226,39.01689708141321
249,66,150,214,38.24884792626728
266,62,165,247,40.86021505376344
251,66,153,240,38.556067588325654
236,62,140,234,36.25192012288787
225,62,125,217,34.56221198156682
239,64,142,225,36.712749615975426
229,63,102,211,35.17665130568356
