footlength,Heightin,Weightlbs,balloffootcircumference,EUR Size
273,71,180,253,41.935483870967744
263,68,160,245,40.39938556067588
270,68,205,256,41.474654377880185
267,66,175,262,41.013824884792626
305,77,213,267,46.85099846390169
254,69,175,228,39.01689708141321
285,72,250,280,43.77880184331797
281,74,211,247,43.164362519201234
266,70,220,257,40.86021505376344
278,72,160,264,42.703533026113675
265,70,195,244,40.706605222734254
256,69,155,236,39.324116743471585
291,72,230,271,44.70046082949309
274,75,250,251,42.08909370199693
266,68,200,254,40.86021505376344
278,69,196,262,42.703533026113675
270,67,170,261,41.474654377880185
270,70,215,258,41.474654377880185
266,70,167,236,40.86021505376344
277,70,202,262,42.54992319508449
275,71,165,258,42.242703533026116
254,66,163,243,39.01689708141321
267,66,175,253,41.013824884792626
301,79,215,255,46.236559139784944
277,70,212,274,42.54992319508449
263,64,135,233,40.39938556067588
266,73,230,257,40.86021505376344
275,71,176,224,42.242703533026116
278,69,178,258,42.703533026113675
271,73,200,250,41.62826420890937
262,75,168,255,40.2457757296467
273,71,205,260,41.935483870967744
269,65,150,231,41.321044546851
280,74,198,242,43.01075268817205
265,71,151,251,40.706605222734254
284,71,194,236,43.625192012288785
236,68,150,227,36.25192012288787
295,74,275,265,45.314900153609834
284,68,170,241,43.625192012288785
275,69,193,257,42.242703533026116
250,70,135,233,38.40245775729647
258,67,188,260,39.63133640552996
293,73,175,268,45.00768049155146
269,68,190,248,41.321044546851
272,70,215,266,41.78187403993856
256,66,145,250,39.324116743471585
260,69,155,244,39.93855606758833
237,69,185,233,36.40552995391705
295,75,222,270,45.314900153609834
255,66,190,236,39.1705069124424
287,71,240,268,44.086021505376344
279,73,185,250,42.85714285714286
255,65,161,218,39.1705069124424
268,70,215,260,41.16743471582181
265,67,173,261,40.706605222734254
283,72,310,272,43.4715821812596
282,71,147,235,43.31797235023041
253,70,190,241,38.863287250384026
267,68,220,243,41.013824884792626
286,75,215,268,43.93241167434716
249,64,126,237,38.24884792626728
248,69,160,230,38.095238095238095
270,73,160,258,41.474654377880185
264,68,174,242,40.55299539170507
267,69,220,254,41.013824884792626
264,67,146,246,40.55299539170507
248,66,180,253,38.095238095238095
284,74,235,276,43.625192012288785
264,70,150,242,40.55299539170507
255,64,158,244,39.1705069124424
274,69,165,250,42.08909370199693
278,68,140,234,42.703533026113675
256,64,164,244,39.324116743471585
256,69,165,242,39.324116743471585
273,73,227,266,41.935483870967744
256,69,205,250,39.324116743471585
256,66,205,249,39.324116743471585
299,69,214,266,45.92933947772658
274,73,195,266,42.08909370199693
297,72,216,268,45.622119815668206
255,71,190,239,39.1705069124424
260,70,163,254,39.93855606758833
278,72,200,239,42.703533026113675
272,71,170,253,41.78187403993856
260,68,175,242,39.93855606758833
233,62,138,225,35.79109062980031
273,68,169,280,41.935483870967744
268,72,195,250,41.16743471582181
268,70,143,242,41.16743471582181
268,67,160,234,41.16743471582181
269,68,190,250,41.321044546851
266,68,190,258,40.86021505376344
268,72,166,256,41.16743471582181
287,73,150,249,44.086021505376344
277,75,165,255,42.54992319508449
264,72,170,257,40.55299539170507
248,66,158,248,38.095238095238095
265,67,174,242,40.706605222734254
262,74,165,242,40.2457757296467
269,71,215,245,41.321044546851
274,72,190,268,42.08909370199693
275,69,160,255,42.242703533026116
269,71,210,246,41.321044546851
260,72,180,256,39.93855606758833
282,73,144,265,43.31797235023041
280,75,215,265,43.01075268817205
278,69,190,265,42.703533026113675
270,69,197,250,41.474654377880185
284,73,183,240,43.625192012288785
265,67,185,247,40.706605222734254
275,73,215,257,42.242703533026116
279,72,180,253,42.85714285714286
246,67,187,233,37.78801843317972
285,73,250,270,43.77880184331797
263,71,219,265,40.39938556067588
275,73,225,270,42.242703533026116
246,67,174,237,37.78801843317972
274,70,190,257,42.08909370199693
294,74,315,297,45.16129032258065
254,66,170,243,39.01689708141321
257,65,148,255,39.47772657450077
267,69,170,257,41.013824884792626
269,68,155,219,41.321044546851
283,75,250,284,43.4715821812596
289,75,200,250,44.39324116743472
284,70,160,255,43.625192012288785
280,71,183,243,43.01075268817205
288,73,222,271,44.23963133640553
263,72,173,257,40.39938556067588
276,69,218,280,42.3963133640553
275,66,168,239,42.242703533026116
270,72,201,260,41.474654377880185
281,69,174,262,43.164362519201234
265,69,185,247,40.706605222734254
285,72,220,274,43.77880184331797
260,67,162,233,39.93855606758833
288,74,210,246,44.23963133640553
276,72,210,261,42.3963133640553
296,71,230,255,45.46850998463902
259,69,178,252,39.78494623655914
278,71,205,254,42.703533026113675
282,70,200,241,43.31797235023041
286,75,230,268,43.93241167434716
259,66,196,264,39.78494623655914
272,71,191,247,41.78187403993856
284,75,259,286,43.625192012288785
266,68,175,254,40.86021505376344
278,71,195,275,42.703533026113675
290,74,193,260,44.5468509984639
284,76,178,264,43.625192012288785
275,72,210,266,42.242703533026116
281,72,236,266,43.164362519201234
262,72,170,246,40.2457757296467
259,69,205,258,39.78494623655914
298,76,240,282,45.77572964669739
276,72,196,255,42.3963133640553
270,70,238,250,41.474654377880185
272,70,214,244,41.78187403993856
260,66,150,238,39.93855606758833
263,71,194,252,40.39938556067588
300,74,217,271,46.082949308755765
249,69,215,224,38.24884792626728
278,73,215,258,42.703533026113675
277,71,248,267,42.54992319508449
272,68,195,256,41.78187403993856
262,68,210,254,40.2457757296467
268,72,210,250,41.16743471582181
261,65,159,239,40.092165898617516
279,72,228,250,42.85714285714286
270,68,169,246,41.474654377880185
299,77,240,263,45.92933947772658
274,69,180,248,42.08909370199693
278,71,210,271,42.703533026113675
260,68,160,250,39.93855606758833
260,69,165,252,39.93855606758833
274,73,185,260,42.08909370199693
245,67,190,254,37.634408602150536
272,72,215,251,41.78187403993856
282,71,185,264,43.31797235023041
271,69,180,247,41.62826420890937
268,68,165,245,41.16743471582181
262,66,200,247,40.2457757296467
275,69,165,250,42.242703533026116
286,75,160,242,43.93241167434716
266,68,160,251,40.86021505376344
279,70,167,260,42.85714285714286
292,77,250,262,44.854070660522275
280,74,185,238,43.01075268817205
289,75,200,256,44.39324116743472
261,68,148,243,40.092165898617516
257,65,188,237,39.47772657450077
293,74,185,256,45.00768049155146
292,71,220,266,44.854070660522275
283,70,228,265,43.4715821812596
247,68,161,235,37.94162826420891
255,71,156,246,39.1705069124424
265,68,152,235,40.706605222734254
277,73,175,246,42.54992319508449
276,68,200,263,42.3963133640553
283,71,187,240,43.4715821812596
278,77,220,266,42.703533026113675
258,69,170,245,39.63133640552996
256,70,183,257,39.324116743471585
277,69,187,259,42.54992319508449
240,68,156,248,36.86635944700461
266,68,230,261,40.86021505376344
266,72,208,245,40.86021505376344
286,76,240,265,43.93241167434716
269,70,196,245,41.321044546851
253,68,185,250,38.863287250384026
285,69,184,246,43.77880184331797
260,69,190,237,39.93855606758833
257,68,153,230,39.47772657450077
262,68,150,262,40.2457757296467
284,70,207,257,43.625192012288785
243,62,110,221,37.327188940092164
274,75,255,261,42.08909370199693
264,70,165,245,40.55299539170507
294,72,242,272,45.16129032258065
241,66,121,240,37.0199692780338
247,64,186,243,37.94162826420891
272,69,195,251,41.78187403993856
287,73,235,253,44.086021505376344
295,69,175,249,45.314900153609834
300,72,240,272,46.082949308755765
267,69,254,249,41.013824884792626
275,67,195,258,42.242703533026116
253,70,170,254,38.863287250384026
269,71,184,261,41.321044546851
271,70,180,245,41.62826420890937
252,65,185,250,38.70967741935484
268,69,210,263,41.16743471582181
273,66,145,255,41.935483870967744
290,72,252,255,44.5468509984639
267,69,198,232,41.013824884792626
257,64,155,248,39.47772657450077
271,87,215,263,41.62826420890937
269,72,187,244,41.321044546851
244,69,171,236,37.48079877112135
295,74,180,257,45.314900153609834
288,71,145,242,44.23963133640553
276,71,235,260,42.3963133640553
267,66,195,252,41.013824884792626
263,70,212,256,40.39938556067588
269,72,195,241,41.321044546851
282,74,239,266,43.31797235023041
248,65,178,240,38.095238095238095
253,66,180,248,38.863287250384026
280,69,195,256,43.01075268817205
244,64,130,238,37.48079877112135
